"Question","ID","Variable","Catalogues_services_merged","Purpose_of_use_merged","Catalogue_services_merged_coded","Catalogue_services_TTRAM","PurposeOfUse_merged_coded","PurposeOfUse_merged_coded_TTRAM"
"catalogues_registries",81,1,,,,,,
"catalogues_registries",81,2,,,,,,
"catalogues_registries",81,3,,,,,,
"catalogues_registries",81,4,,,,,,
"catalogues_registries",81,5,,,,,,
"catalogues_registries",82,1,,,,,,
"catalogues_registries",82,2,,,,,,
"catalogues_registries",82,3,,,,,,
"catalogues_registries",82,4,,,,,,
"catalogues_registries",82,5,,,,,,
"catalogues_registries",83,1,,,,,,
"catalogues_registries",83,2,,,,,,
"catalogues_registries",83,3,,,,,,
"catalogues_registries",83,4,,,,,,
"catalogues_registries",83,5,,,,,,
"catalogues_registries",84,1,,,,,,
"catalogues_registries",84,2,,,,,,
"catalogues_registries",84,3,,,,,,
"catalogues_registries",84,4,,,,,,
"catalogues_registries",84,5,,,,,,
"catalogues_registries",85,1,"https://clarino.uib.no/comedi/home","Metadata management","COMEDI","Discovery & Identification","Metadata editor","Metadata editor (Discovery & Identification)"
"catalogues_registries",85,2,"https://urn.fi/; http://hdl.handle.net","PIDs (Access, Reuse)","Handle  System","Discovery & Identification","PID management","PID management (Discovery & Identification)"
"catalogues_registries",85,3,"https://lbr.csc.fi/","Access","Language Bank Rights service","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
"catalogues_registries",85,4,,,,,,
"catalogues_registries",85,5,,,,,,
"catalogues_registries",86,1,,,,,,
"catalogues_registries",86,2,,,,,,
"catalogues_registries",86,3,,,,,,
"catalogues_registries",86,4,,,,,,
"catalogues_registries",86,5,,,,,,
"catalogues_registries",87,1,,,,,,
"catalogues_registries",87,2,,,,,,
"catalogues_registries",87,3,,,,,,
"catalogues_registries",87,4,,,,,,
"catalogues_registries",87,5,,,,,,
"catalogues_registries",88,1,,,,,,
"catalogues_registries",88,2,,,,,,
"catalogues_registries",88,3,,,,,,
"catalogues_registries",88,4,,,,,,
"catalogues_registries",88,5,,,,,,
"catalogues_registries",89,1,,,,,,
"catalogues_registries",89,2,,,,,,
"catalogues_registries",89,3,,,,,,
"catalogues_registries",89,4,,,,,,
"catalogues_registries",89,5,,,,,,
"catalogues_registries",90,1,,,,,,
"catalogues_registries",90,2,,,,,,
"catalogues_registries",90,3,,,,,,
"catalogues_registries",90,4,,,,,,
"catalogues_registries",90,5,,,,,,
"catalogues_registries",91,1,,,,,,
"catalogues_registries",91,2,,,,,,
"catalogues_registries",91,3,,,,,,
"catalogues_registries",91,4,,,,,,
"catalogues_registries",91,5,,,,,,
"catalogues_registries",92,1,,,,,,
"catalogues_registries",92,2,,,,,,
"catalogues_registries",92,3,,,,,,
"catalogues_registries",92,4,,,,,,
"catalogues_registries",92,5,,,,,,
"catalogues_registries",93,1,,,,,,
"catalogues_registries",93,2,,,,,,
"catalogues_registries",93,3,,,,,,
"catalogues_registries",93,4,,,,,,
"catalogues_registries",93,5,,,,,,
"catalogues_registries",94,1,,,,,,
"catalogues_registries",94,2,,,,,,
"catalogues_registries",94,3,,,,,,
"catalogues_registries",94,4,,,,,,
"catalogues_registries",94,5,,,,,,
"catalogues_registries",95,1,"CESSDA Data Catalogue","Provides access to a wide range of European social science data. Activity/Function: Reuse, Curation, Quality & Compliance","CESSDA Data Catalogue","Discovery & Identification","Data catalogues","Data catalogues (Discovery & Identification)"
"catalogues_registries",95,2,"Aila Data Service","FSDs data portal that provides access to research data for researchers, teachers, and students. Also used for depositing data. Activity/Function: Deposit & Appraisal, Access, Reuse, Curation, Quality & Compliance","Aila Data Service","All","Data archive","Data archive (All)"
"catalogues_registries",95,3,"ELSST (European Language Social Science Thesaurus)","Thesaurus for social sciences. Used for keywords in English language metadata. Activity/Function: Curation, Quality & Compliance, Access","ELSST (European Language Social Science Thesaurus)","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
"catalogues_registries",95,4,"PID services","We use ORCID, DOI, and URN as part of our PID services. Used to manage persistent identifiers for digital objects. These identifiers ensure long-term access and reliable referencing of digital objects. Activity/Function: Curation, Quality & Compliance, Access, Reuse, Preservation","PID services","Discovery & Identification","PID management","PID management (Discovery & Identification)"
"catalogues_registries",95,5,"CESSDA vocabulary service","Used to standardize and manage controlled vocabularies for digital objects and metadata. Activity/Function: Curation, Quality & Compliance, Access, Reuse, Preservation","CESSDA vocabulary service","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
"catalogues_registries",96,1,,,,,,
"catalogues_registries",96,2,,,,,,
"catalogues_registries",96,3,,,,,,
"catalogues_registries",96,4,,,,,,
"catalogues_registries",96,5,,,,,,
"catalogues_registries",97,1,,,,,,
"catalogues_registries",97,2,,,,,,
"catalogues_registries",97,3,,,,,,
"catalogues_registries",97,4,,,,,,
"catalogues_registries",97,5,,,,,,
"catalogues_registries",98,1,,,,,,
"catalogues_registries",98,2,,,,,,
"catalogues_registries",98,3,,,,,,
"catalogues_registries",98,4,,,,,,
"catalogues_registries",98,5,,,,,,
"catalogues_registries",99,1,,,,,,
"catalogues_registries",99,2,,,,,,
"catalogues_registries",99,3,,,,,,
"catalogues_registries",99,4,,,,,,
"catalogues_registries",99,5,,,,,,
"catalogues_registries",100,1,"DataCite","To generate DOIs","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
"catalogues_registries",100,2,,,,,,
"catalogues_registries",100,3,,,,,,
"catalogues_registries",100,4,,,,,,
"catalogues_registries",100,5,,,,,,
"catalogues_registries",101,1,,,,,,
"catalogues_registries",101,2,,,,,,
"catalogues_registries",101,3,,,,,,
"catalogues_registries",101,4,,,,,,
"catalogues_registries",101,5,,,,,,
"catalogues_registries",102,1,,,,,,
"catalogues_registries",102,2,,,,,,
"catalogues_registries",102,3,,,,,,
"catalogues_registries",102,4,,,,,,
"catalogues_registries",102,5,,,,,,
"catalogues_registries",103,1,,,,,,
"catalogues_registries",103,2,,,,,,
"catalogues_registries",103,3,,,,,,
"catalogues_registries",103,4,,,,,,
"catalogues_registries",103,5,,,,,,
"catalogues_registries",104,1,,,,,,
"catalogues_registries",104,2,,,,,,
"catalogues_registries",104,3,,,,,,
"catalogues_registries",104,4,,,,,,
"catalogues_registries",104,5,,,,,,
"catalogues_registries",105,1,"ESRF data portal","Generic repository for all data from photon and EM experiments at ESRF","ESRF data portal","Discovery & Identification","Data catalogues","Data catalogues (Discovery & Identification)"
"catalogues_registries",105,2,"Human Organ Atlas","Domain specific data portal for human organs","Human Organ Atlas","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
"catalogues_registries",105,3,"Paleontology data portal","Domain specific data portal for paleontology data","Paleontology data portal","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
"catalogues_registries",105,4,"Datacite","For issuing DOIs and storing associated metadata","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
"catalogues_registries",105,5,,,,,,
"catalogues_registries",106,1,,,,,,
"catalogues_registries",106,2,,,,,,
"catalogues_registries",106,3,,,,,,
"catalogues_registries",106,4,,,,,,
"catalogues_registries",106,5,,,,,,
"catalogues_registries",107,1,,,,,,
"catalogues_registries",107,2,,,,,,
"catalogues_registries",107,3,,,,,,
"catalogues_registries",107,4,,,,,,
"catalogues_registries",107,5,,,,,,
"catalogues_registries",108,1,,,,,,
"catalogues_registries",108,2,,,,,,
"catalogues_registries",108,3,,,,,,
"catalogues_registries",108,4,,,,,,
"catalogues_registries",108,5,,,,,,
"catalogues_registries",109,1,,,,,,
"catalogues_registries",109,2,,,,,,
"catalogues_registries",109,3,,,,,,
"catalogues_registries",109,4,,,,,,
"catalogues_registries",109,5,,,,,,
"catalogues_registries",110,1,,,,,,
"catalogues_registries",110,2,,,,,,
"catalogues_registries",110,3,,,,,,
"catalogues_registries",110,4,,,,,,
"catalogues_registries",110,5,,,,,,
"catalogues_registries",111,1,,,,,,
"catalogues_registries",111,2,,,,,,
"catalogues_registries",111,3,,,,,,
"catalogues_registries",111,4,,,,,,
"catalogues_registries",111,5,,,,,,
"catalogues_registries",112,1,,,,,,
"catalogues_registries",112,2,,,,,,
"catalogues_registries",112,3,,,,,,
"catalogues_registries",112,4,,,,,,
"catalogues_registries",112,5,,,,,,
"catalogues_registries",113,1,,,,,,
"catalogues_registries",113,2,,,,,,
"catalogues_registries",113,3,,,,,,
"catalogues_registries",113,4,,,,,,
"catalogues_registries",113,5,,,,,,
"catalogues_registries",114,1,,,,,,
"catalogues_registries",114,2,,,,,,
